"matchNo","Date","Time","Team1","Team2","Score1","Score2","Season"
78,"27.02.2021","20:30","Al-Faisaly","Al Ahli SC",2,1,"2020-2021"
79,"27.02.2021","18:15","Al-Ettifaq","Al-Taawon",0,3,"2020-2021"
80,"27.02.2021","15:50","Al Batin","Al Wehda",3,0,"2020-2021"
81,"23.02.2021","20:35","Al-Nassr","Al-Hilal",1,0,"2020-2021"
82,"23.02.2021","19:00","Al-Ittihad FC","Al-Faisaly",1,3,"2020-2021"
83,"23.02.2021","18:20","Al-Fateh","Al-Ettifaq",2,3,"2020-2021"
84,"23.02.2021","16:10","Al Ain","Damk",1,1,"2020-2021"
85,"23.02.2021","15:45","Al Batin","Al Qadisiya",2,2,"2020-2021"
86,"22.02.2021","20:35","Al-Shabab","Al Ahli SC",3,0,"2020-2021"
87,"22.02.2021","19:00","Al Wehda","Al-Taawon",0,2,"2020-2021"
88,"22.02.2021","16:10","Abha","Al-Raed",0,3,"2020-2021"
89,"18.02.2021","20:20","Al-Hilal","Al-Ettifaq",3,1,"2020-2021"
90,"18.02.2021","18:10","Al Qadisiya","Al-Nassr",1,0,"2020-2021"
91,"18.02.2021","15:55","Al-Taawon","Al-Ittihad FC",1,2,"2020-2021"
92,"18.02.2021","15:50","Al-Faisaly","Damk",2,0,"2020-2021"
93,"17.02.2021","20:20","Al Ahli SC","Al Ain",1,1,"2020-2021"
94,"17.02.2021","18:25","Al-Shabab","Al-Fateh",1,2,"2020-2021"
95,"17.02.2021","16:05","Abha","Al Batin",1,2,"2020-2021"
96,"17.02.2021","15:55","Al-Raed","Al Wehda",1,3,"2020-2021"
97,"14.02.2021","16:05","Damk","Al-Hilal",1,0,"2020-2021"
98,"13.02.2021","20:20","Al-Nassr","Al-Shabab",0,4,"2020-2021"
99,"13.02.2021","18:10","Al-Fateh","Al Ain",3,2,"2020-2021"
100,"13.02.2021","15:50","Al-Taawon","Al Qadisiya",0,2,"2020-2021"
101,"12.02.2021","18:30","Al-Raed","Al Batin",1,2,"2020-2021"
102,"12.02.2021","15:45","Al-Faisaly","Al Wehda",2,4,"2020-2021"
103,"11.02.2021","20:20","Al Ahli SC","Al-Ittihad FC",1,1,"2020-2021"
104,"11.02.2021","18:05","Al-Ettifaq","Abha",4,1,"2020-2021"
105,"09.02.2021","18:10","Al-Fateh","Al-Nassr",1,1,"2020-2021"
106,"09.02.2021","16:05","Al Ain","Al-Hilal",0,5,"2020-2021"
107,"06.02.2021","18:20","Al-Shabab","Al-Raed",4,1,"2020-2021"
108,"06.02.2021","16:00","Damk","Al Qadisiya",2,2,"2020-2021"
109,"05.02.2021","20:15","Al Wehda","Al Ahli SC",2,4,"2020-2021"
110,"05.02.2021","15:40","Al Batin","Al-Faisaly",0,2,"2020-2021"
111,"04.02.2021","20:15","Al-Nassr","Al-Taawon",3,0,"2020-2021"
112,"04.02.2021","18:50","Al-Ittihad FC","Al-Fateh",4,1,"2020-2021"
113,"04.02.2021","18:15","Al-Hilal","Abha",2,3,"2020-2021"
114,"04.02.2021","16:05","Al Ain","Al-Ettifaq",1,0,"2020-2021"
115,"31.01.2021","20:10","Al Ahli SC","Al Batin",2,2,"2020-2021"
116,"31.01.2021","18:00","Al Qadisiya","Al Wehda",2,2,"2020-2021"
117,"31.01.2021","15:45","Al-Raed","Damk",4,2,"2020-2021"
118,"30.01.2021","18:00","Al-Ettifaq","Al-Ittihad FC",2,0,"2020-2021"
119,"30.01.2021","16:00","Abha","Al-Shabab",2,3,"2020-2021"
120,"30.01.2021","15:40","Al-Faisaly","Al-Taawon",0,0,"2020-2021"
121,"26.01.2021","15:30","Al Batin","Al Ain",2,1,"2020-2021"
122,"25.01.2021","18:45","Al Wehda","Al-Shabab",2,4,"2020-2021"
123,"25.01.2021","18:15","Al-Faisaly","Al-Hilal",1,1,"2020-2021"
124,"25.01.2021","15:40","Al-Taawon","Damk",3,1,"2020-2021"
125,"24.01.2021","20:10","Al-Ettifaq","Al Ahli SC",1,2,"2020-2021"
126,"24.01.2021","18:40","Al-Ittihad FC","Al-Nassr",1,1,"2020-2021"
127,"24.01.2021","17:55","Al-Fateh","Al-Raed",0,2,"2020-2021"
128,"24.01.2021","15:55","Abha","Al Qadisiya",2,2,"2020-2021"
129,"20.01.2021","20:10","Al-Nassr","Al Wehda",3,1,"2020-2021"
130,"20.01.2021","18:10","Al-Hilal","Al-Taawon",2,0,"2020-2021"
131,"20.01.2021","15:55","Damk","Al Batin",2,0,"2020-2021"
132,"19.01.2021","20:10","Al Ahli SC","Abha",3,0,"2020-2021"
133,"19.01.2021","18:10","Al-Shabab","Al-Faisaly",1,1,"2020-2021"
134,"19.01.2021","17:50","Al Qadisiya","Al-Fateh",1,1,"2020-2021"
135,"19.01.2021","16:00","Al Ain","Al-Ittihad FC",1,2,"2020-2021"
136,"19.01.2021","15:40","Al-Raed","Al-Ettifaq",2,3,"2020-2021"
137,"15.01.2021","20:10","Al Ahli SC","Al-Hilal",0,0,"2020-2021"
138,"15.01.2021","18:10","Al-Raed","Al-Nassr",0,1,"2020-2021"
139,"15.01.2021","15:55","Damk","Al Wehda",0,0,"2020-2021"
140,"14.01.2021","20:10","Al-Ittihad FC","Abha",0,1,"2020-2021"
141,"14.01.2021","17:50","Al-Fateh","Al-Taawon",1,2,"2020-2021"
142,"14.01.2021","17:45","Al-Ettifaq","Al Batin",1,1,"2020-2021"
143,"14.01.2021","15:55","Al Ain","Al-Shabab",0,3,"2020-2021"
144,"14.01.2021","15:30","Al-Faisaly","Al Qadisiya",2,2,"2020-2021"
145,"09.01.2021","19:55","Al-Ittihad FC","Damk",1,0,"2020-2021"
146,"09.01.2021","17:55","Al-Shabab","Al-Ettifaq",1,0,"2020-2021"
147,"09.01.2021","15:30","Al-Taawon","Al-Raed",0,0,"2020-2021"
148,"08.01.2021","19:55","Al-Nassr","Al Ain",3,0,"2020-2021"
149,"08.01.2021","17:40","Al Qadisiya","Al Ahli SC",3,1,"2020-2021"
150,"08.01.2021","15:20","Al Batin","Al-Hilal",2,2,"2020-2021"
151,"07.01.2021","18:35","Al Wehda","Al-Fateh",0,0,"2020-2021"
152,"07.01.2021","15:50","Abha","Al-Faisaly",1,0,"2020-2021"
153,"02.01.2021","18:30","Al Ahli SC","Al-Taawon",0,3,"2020-2021"
154,"02.01.2021","15:25","Al-Raed","Al Qadisiya",2,2,"2020-2021"
155,"01.01.2021","17:35","Al-Ettifaq","Al Wehda",1,2,"2020-2021"
156,"01.01.2021","15:50","Al Ain","Abha",2,4,"2020-2021"
157,"01.01.2021","15:45","Damk","Al-Fateh",1,2,"2020-2021"
158,"31.12.2020","19:50","Al-Hilal","Al-Shabab",1,1,"2020-2021"
159,"31.12.2020","17:55","Al-Faisaly","Al-Nassr",2,3,"2020-2021"
160,"31.12.2020","15:10","Al Batin","Al-Ittihad FC",1,2,"2020-2021"
161,"27.12.2020","19:40","Al Qadisiya","Al-Ettifaq",1,2,"2020-2021"
162,"27.12.2020","17:55","Al-Raed","Al Ahli SC",1,2,"2020-2021"
163,"27.12.2020","17:35","Al-Fateh","Al-Faisaly",3,2,"2020-2021"
164,"27.12.2020","15:45","Al Ain","Al-Taawon",1,0,"2020-2021"
165,"27.12.2020","15:40","Abha","Al Wehda",0,1,"2020-2021"
166,"26.12.2020","19:50","Al-Hilal","Al-Ittihad FC",1,1,"2020-2021"
167,"26.12.2020","17:50","Al-Nassr","Damk",2,2,"2020-2021"
168,"26.12.2020","15:15","Al-Shabab","Al Batin",3,1,"2020-2021"
169,"22.12.2020","19:50","Al Ahli SC","Al-Fateh",1,0,"2020-2021"
170,"22.12.2020","18:20","Al Wehda","Al Ain",2,1,"2020-2021"
171,"22.12.2020","17:50","Al-Faisaly","Al-Ettifaq",0,3,"2020-2021"
172,"22.12.2020","15:40","Damk","Abha",2,1,"2020-2021"
173,"21.12.2020","19:50","Al-Ittihad FC","Al-Raed",0,0,"2020-2021"
174,"21.12.2020","17:55","Al-Taawon","Al-Shabab",4,0,"2020-2021"
175,"21.12.2020","17:30","Al Qadisiya","Al-Hilal",1,3,"2020-2021"
176,"21.12.2020","15:10","Al Batin","Al-Nassr",1,2,"2020-2021"
177,"13.12.2020","19:45","Al-Hilal","Al Wehda",1,2,"2020-2021"
178,"12.12.2020","19:45","Al-Nassr","Al Ahli SC",1,2,"2020-2021"
179,"12.12.2020","17:30","Al-Fateh","Al Batin",1,2,"2020-2021"
180,"12.12.2020","17:25","Al-Ettifaq","Damk",4,2,"2020-2021"
181,"12.12.2020","15:35","Abha","Al-Taawon",0,0,"2020-2021"
182,"11.12.2020","19:45","Al-Shabab","Al-Ittihad FC",1,1,"2020-2021"
183,"11.12.2020","17:50","Al-Raed","Al-Faisaly",0,2,"2020-2021"
184,"11.12.2020","15:35","Al Ain","Al Qadisiya",1,2,"2020-2021"
185,"07.12.2020","19:45","Al-Nassr","Al-Ettifaq",2,2,"2020-2021"
186,"07.12.2020","17:50","Al-Raed","Al-Hilal",0,1,"2020-2021"
187,"07.12.2020","17:30","Al-Fateh","Abha",1,3,"2020-2021"
188,"06.12.2020","19:45","Al Wehda","Al-Ittihad FC",1,2,"2020-2021"
189,"06.12.2020","17:25","Al Qadisiya","Al-Shabab",2,1,"2020-2021"
190,"05.12.2020","17:45","Al-Faisaly","Al Ain",1,1,"2020-2021"
191,"05.12.2020","17:35","Al Batin","Al-Taawon",1,1,"2020-2021"
192,"05.12.2020","15:30","Damk","Al Ahli SC",4,3,"2020-2021"
193,"03.12.2020","17:40","Al-Hilal","Al-Fateh",3,0,"2020-2021"
194,"03.12.2020","15:35","Abha","Al-Nassr",2,1,"2020-2021"
195,"29.11.2020","19:40","Al Ahli SC","Al-Faisaly",2,1,"2020-2021"
196,"29.11.2020","18:10","Al Wehda","Al Batin",3,2,"2020-2021"
197,"29.11.2020","15:15","Al-Taawon","Al-Ettifaq",1,1,"2020-2021"
198,"28.11.2020","15:35","Al Ain","Al-Raed",1,0,"2020-2021"
199,"27.11.2020","19:40","Al-Ittihad FC","Al Qadisiya",1,0,"2020-2021"
200,"27.11.2020","17:40","Al-Shabab","Damk",2,1,"2020-2021"
201,"24.11.2020","19:30","Al-Ettifaq","Al-Fateh",0,4,"2020-2021"
202,"24.11.2020","17:50","Al-Taawon","Al Wehda",1,0,"2020-2021"
203,"23.11.2020","20:15","Al-Hilal","Al-Nassr",2,0,"2020-2021"
204,"23.11.2020","18:15","Al Ahli SC","Al-Shabab",2,2,"2020-2021"
205,"23.11.2020","17:45","Al-Faisaly","Al-Ittihad FC",1,1,"2020-2021"
206,"23.11.2020","17:25","Al Qadisiya","Al Batin",2,2,"2020-2021"
207,"23.11.2020","15:30","Damk","Al Ain",0,2,"2020-2021"
208,"23.11.2020","15:15","Al-Raed","Abha",2,1,"2020-2021"
209,"07.11.2020","19:45","Al-Nassr","Al Qadisiya",2,0,"2020-2021"
210,"07.11.2020","17:35","Al-Fateh","Al-Shabab",1,3,"2020-2021"
211,"07.11.2020","15:35","Al Ain","Al Ahli SC",3,4,"2020-2021"
212,"06.11.2020","19:45","Al-Ittihad FC","Al-Taawon",1,1,"2020-2021"
213,"06.11.2020","17:45","Al Batin","Abha",3,0,"2020-2021"
214,"06.11.2020","17:30","Al-Ettifaq","Al-Hilal",0,2,"2020-2021"
215,"06.11.2020","15:35","Damk","Al-Faisaly",0,0,"2020-2021"
216,"05.11.2020","19:45","Al Wehda","Al-Raed",2,3,"2020-2021"
217,"01.11.2020","19:50","Al-Shabab","Al-Nassr",2,1,"2020-2021"
218,"31.10.2020","19:50","Al-Ittihad FC","Al Ahli SC",2,0,"2020-2021"
219,"31.10.2020","18:15","Abha","Al-Ettifaq",3,2,"2020-2021"
220,"31.10.2020","17:50","Al-Hilal","Damk",2,0,"2020-2021"
221,"30.10.2020","19:50","Al Wehda","Al-Faisaly",1,2,"2020-2021"
222,"30.10.2020","15:40","Al Ain","Al-Fateh",2,4,"2020-2021"
223,"29.10.2020","19:50","Al Qadisiya","Al-Taawon",1,0,"2020-2021"
224,"29.10.2020","17:50","Al Batin","Al-Raed",2,1,"2020-2021"
225,"24.10.2020","19:55","Al-Fateh","Al-Ittihad FC",2,2,"2020-2021"
226,"24.10.2020","17:40","Al-Ettifaq","Al Ain",2,1,"2020-2021"
227,"23.10.2020","19:55","Al-Faisaly","Al Batin",2,1,"2020-2021"
228,"23.10.2020","18:05","Al-Raed","Al-Shabab",2,2,"2020-2021"
229,"23.10.2020","17:40","Al Qadisiya","Damk",2,1,"2020-2021"
230,"22.10.2020","19:55","Al Ahli SC","Al Wehda",1,0,"2020-2021"
231,"22.10.2020","18:05","Al-Taawon","Al-Nassr",1,0,"2020-2021"
232,"22.10.2020","15:40","Abha","Al-Hilal",1,1,"2020-2021"
233,"18.10.2020","20:00","Al-Ittihad FC","Al-Ettifaq",1,2,"2020-2021"
234,"18.10.2020","18:20","Damk","Al-Raed",2,3,"2020-2021"
235,"18.10.2020","18:00","Al Batin","Al Ahli SC",0,1,"2020-2021"
236,"18.10.2020","18:00","Al-Nassr","Al-Fateh",1,2,"2020-2021"
237,"17.10.2020","21:15","Al-Hilal","Al Ain",1,0,"2020-2021"
238,"17.10.2020","20:00","Al Wehda","Al Qadisiya",2,1,"2020-2021"
239,"17.10.2020","18:10","Al-Taawon","Al-Faisaly",1,1,"2020-2021"
240,"17.10.2020","18:00","Al-Shabab","Abha",1,0,"2020-2021"
1,"27.06.2022","21:00","Al-Hilal","Al-Faisaly",2,1,"2021-2022"
2,"27.06.2022","21:00","Al-Shabab","Al Ahli SC",0,0,"2021-2022"
3,"27.06.2022","21:00","Al Feiha","Al-Ettifaq",0,1,"2021-2022"
4,"27.06.2022","21:00","Al Taee","Al-Hazem",3,0,"2021-2022"
5,"27.06.2022","21:00","Al-Nassr","Al-Fateh",2,1,"2021-2022"
6,"27.06.2022","21:00","Al-Ittihad FC","Al Batin",0,0,"2021-2022"
7,"27.06.2022","21:00","Al-Raed","Abha",1,0,"2021-2022"
8,"27.06.2022","21:00","Damk","Al-Taawon",1,1,"2021-2022"
9,"23.06.2022","21:00","Al-Fateh","Al-Hilal",0,3,"2021-2022"
10,"23.06.2022","21:00","Al-Taawon","Al-Shabab",1,1,"2021-2022"
11,"23.06.2022","21:00","Al Batin","Damk",2,1,"2021-2022"
12,"23.06.2022","21:00","Al-Ettifaq","Al-Ittihad FC",1,3,"2021-2022"
13,"23.06.2022","21:00","Abha","Al Feiha",0,0,"2021-2022"
14,"23.06.2022","21:00","Al Ahli SC","Al-Raed",1,3,"2021-2022"
15,"23.06.2022","21:00","Al-Hazem","Al-Nassr",1,4,"2021-2022"
16,"23.06.2022","21:00","Al-Faisaly","Al Taee",1,0,"2021-2022"
17,"29.05.2022","21:00","Al-Hilal","Abha",2,0,"2021-2022"
18,"29.05.2022","21:00","Al Taee","Al-Ittihad FC",1,0,"2021-2022"
19,"29.05.2022","19:20","Al Feiha","Al-Taawon",0,1,"2021-2022"
20,"29.05.2022","19:15","Damk","Al-Fateh",0,3,"2021-2022"
21,"28.05.2022","19:20","Al-Faisaly","Al-Ettifaq",1,1,"2021-2022"
22,"28.05.2022","19:20","Al-Nassr","Al Ahli SC",1,1,"2021-2022"
23,"27.05.2022","21:00","Al-Raed","Al-Shabab",0,2,"2021-2022"
24,"27.05.2022","19:25","Al-Hazem","Al Batin",2,3,"2021-2022"
25,"23.05.2022","21:00","Al-Ittihad FC","Al-Hilal",1,3,"2021-2022"
26,"23.05.2022","19:20","Al Feiha","Damk",0,0,"2021-2022"
27,"22.05.2022","21:00","Al Ahli SC","Abha",1,1,"2021-2022"
28,"22.05.2022","19:00","Al-Fateh","Al Taee",1,2,"2021-2022"
29,"21.05.2022","21:00","Al-Raed","Al-Nassr",0,3,"2021-2022"
30,"21.05.2022","19:00","Al-Ettifaq","Al-Hazem",5,2,"2021-2022"
31,"12.05.2022","20:50","Al-Shabab","Al-Faisaly",1,0,"2021-2022"
32,"12.05.2022","19:20","Al-Taawon","Al Batin",1,0,"2021-2022"
33,"11.05.2022","18:55","Al-Ettifaq","Al-Hilal",0,2,"2021-2022"
34,"07.05.2022","20:50","Al Taee","Al-Raed",2,2,"2021-2022"
35,"07.05.2022","19:20","Al-Hazem","Al Feiha",3,1,"2021-2022"
36,"07.05.2022","19:10","Damk","Al-Hilal",2,4,"2021-2022"
37,"06.05.2022","20:50","Al-Nassr","Al-Shabab",4,2,"2021-2022"
38,"06.05.2022","19:10","Abha","Al-Faisaly",0,0,"2021-2022"
39,"06.05.2022","18:50","Al-Fateh","Al-Ittihad FC",4,4,"2021-2022"
40,"05.05.2022","20:50","Al Batin","Al Ahli SC",2,2,"2021-2022"
41,"05.05.2022","19:20","Al-Taawon","Al-Ettifaq",0,4,"2021-2022"
42,"03.05.2022","19:10","Al Feiha","Al-Hilal",1,0,"2021-2022"
43,"19.03.2022","18:55","Abha","Al-Taawon",1,1,"2021-2022"
44,"19.03.2022","18:45","Al Batin","Al-Raed",2,0,"2021-2022"
45,"18.03.2022","20:50","Al-Hilal","Al Ahli SC",4,2,"2021-2022"
46,"18.03.2022","19:05","Al-Ittihad FC","Al-Hazem",3,0,"2021-2022"
47,"18.03.2022","19:00","Al Taee","Al-Shabab",2,2,"2021-2022"
48,"17.03.2022","20:50","Al-Nassr","Al Feiha",1,0,"2021-2022"
49,"17.03.2022","18:55","Damk","Al-Ettifaq",1,0,"2021-2022"
50,"17.03.2022","18:45","Al-Faisaly","Al-Fateh",1,0,"2021-2022"
51,"13.03.2022","20:45","Al-Shabab","Al-Ittihad FC",0,2,"2021-2022"
52,"13.03.2022","18:50","Al-Raed","Al-Hilal",0,1,"2021-2022"
53,"12.03.2022","20:45","Al Ahli SC","Al Taee",3,1,"2021-2022"
54,"12.03.2022","18:50","Al-Hazem","Damk",0,1,"2021-2022"
55,"11.03.2022","20:45","Al-Ettifaq","Al-Nassr",2,2,"2021-2022"
56,"11.03.2022","18:45","Al Feiha","Al Batin",1,0,"2021-2022"
57,"10.03.2022","18:50","Al-Taawon","Al-Faisaly",2,2,"2021-2022"
58,"10.03.2022","18:25","Al-Fateh","Abha",3,0,"2021-2022"
59,"08.03.2022","20:45","Al-Hilal","Al-Ittihad FC",2,1,"2021-2022"
60,"05.03.2022","20:45","Al-Shabab","Al Batin",4,0,"2021-2022"
61,"05.03.2022","18:45","Al-Raed","Al Feiha",1,0,"2021-2022"
62,"05.03.2022","18:40","Al-Faisaly","Al-Hazem",1,0,"2021-2022"
63,"04.03.2022","20:45","Al-Ettifaq","Al Ahli SC",1,0,"2021-2022"
64,"04.03.2022","18:45","Al-Taawon","Al-Fateh",1,1,"2021-2022"
65,"04.03.2022","16:15","Abha","Al Taee",1,0,"2021-2022"
66,"03.03.2022","21:00","Al-Nassr","Al-Hilal",0,4,"2021-2022"
67,"03.03.2022","19:00","Al-Ittihad FC","Damk",2,1,"2021-2022"
68,"27.02.2022","20:40","Al Feiha","Al-Shabab",1,2,"2021-2022"
69,"27.02.2022","18:15","Al-Fateh","Al-Ettifaq",4,0,"2021-2022"
70,"27.02.2022","16:10","Al Taee","Al-Taawon",1,1,"2021-2022"
71,"27.02.2022","15:50","Al Batin","Al-Faisaly",1,0,"2021-2022"
72,"26.02.2022","21:00","Al Ahli SC","Al-Ittihad FC",3,4,"2021-2022"
73,"26.02.2022","18:25","Al-Hilal","Al-Hazem",2,0,"2021-2022"
74,"26.02.2022","18:25","Al-Nassr","Abha",2,1,"2021-2022"
75,"26.02.2022","16:15","Damk","Al-Raed",3,2,"2021-2022"
76,"22.02.2022","18:15","Al-Fateh","Al-Faisaly",4,1,"2021-2022"
77,"19.02.2022","18:10","Al-Ettifaq","Al Taee",0,1,"2021-2022"
78,"19.02.2022","16:10","Damk","Abha",3,2,"2021-2022"
79,"18.02.2022","18:30","Al-Faisaly","Al-Raed",0,0,"2021-2022"
80,"18.02.2022","16:00","Al-Hazem","Al-Fateh",0,1,"2021-2022"
81,"17.02.2022","20:40","Al-Hilal","Al-Shabab",5,0,"2021-2022"
82,"17.02.2022","18:55","Al Ahli SC","Al Feiha",1,1,"2021-2022"
83,"17.02.2022","18:35","Al-Taawon","Al-Ittihad FC",1,1,"2021-2022"
84,"17.02.2022","15:45","Al Batin","Al-Nassr",3,4,"2021-2022"
85,"12.02.2022","18:30","Al-Raed","Al-Taawon",0,3,"2021-2022"
86,"12.02.2022","16:00","Al Taee","Al Batin",3,1,"2021-2022"
87,"11.02.2022","20:20","Al-Ittihad FC","Al-Nassr",3,0,"2021-2022"
88,"11.02.2022","18:10","Al-Fateh","Al Ahli SC",0,1,"2021-2022"
89,"11.02.2022","16:05","Abha","Al-Hazem",2,1,"2021-2022"
90,"10.02.2022","20:20","Al Feiha","Al-Faisaly",0,0,"2021-2022"
91,"10.02.2022","18:20","Al-Shabab","Damk",2,1,"2021-2022"
92,"06.02.2022","18:20","Al-Nassr","Al Taee",4,1,"2021-2022"
93,"06.02.2022","18:05","Al-Fateh","Al Batin",2,3,"2021-2022"
94,"06.02.2022","16:05","Abha","Al-Ittihad FC",0,4,"2021-2022"
95,"05.02.2022","20:20","Al Ahli SC","Al-Taawon",1,1,"2021-2022"
96,"05.02.2022","18:20","Al-Faisaly","Damk",3,0,"2021-2022"
97,"05.02.2022","15:50","Al-Hazem","Al-Shabab",1,2,"2021-2022"
98,"05.02.2022","15:50","Al-Raed","Al-Ettifaq",1,1,"2021-2022"
99,"22.01.2022","18:20","Al-Hazem","Al-Raed",2,0,"2021-2022"
100,"22.01.2022","15:35","Al Feiha","Al Taee",2,0,"2021-2022"
101,"21.01.2022","20:10","Al-Ittihad FC","Al-Faisaly",1,0,"2021-2022"
102,"21.01.2022","15:55","Damk","Al Ahli SC",1,1,"2021-2022"
103,"21.01.2022","15:40","Al-Taawon","Al-Nassr",0,1,"2021-2022"
104,"21.01.2022","15:30","Al Batin","Al-Hilal",1,1,"2021-2022"
105,"20.01.2022","18:10","Al-Shabab","Al-Fateh",1,1,"2021-2022"
106,"20.01.2022","17:50","Al-Ettifaq","Abha",1,2,"2021-2022"
107,"15.01.2022","20:00","Al-Hilal","Al-Taawon",3,2,"2021-2022"
108,"15.01.2022","20:00","Al Ahli SC","Al-Hazem",1,0,"2021-2022"
109,"15.01.2022","18:05","Al-Nassr","Al-Faisaly",4,0,"2021-2022"
110,"15.01.2022","15:40","Al Taee","Damk",1,2,"2021-2022"
111,"14.01.2022","17:50","Al-Ettifaq","Al-Shabab",2,2,"2021-2022"
112,"14.01.2022","15:50","Abha","Al Batin",1,0,"2021-2022"
113,"14.01.2022","15:35","Al-Raed","Al-Ittihad FC",1,2,"2021-2022"
114,"13.01.2022","15:30","Al Feiha","Al-Fateh",0,0,"2021-2022"
115,"11.01.2022","18:05","Al-Faisaly","Al Ahli SC",2,2,"2021-2022"
116,"11.01.2022","15:40","Al Taee","Al-Hilal",0,4,"2021-2022"
117,"08.01.2022","18:00","Al-Shabab","Abha",1,1,"2021-2022"
118,"08.01.2022","17:45","Al-Fateh","Al-Raed",2,3,"2021-2022"
119,"08.01.2022","15:50","Damk","Al-Nassr",0,2,"2021-2022"
120,"07.01.2022","19:55","Al-Ittihad FC","Al Feiha",2,0,"2021-2022"
121,"07.01.2022","18:05","Al-Taawon","Al-Hazem",2,1,"2021-2022"
122,"07.01.2022","15:20","Al Batin","Al-Ettifaq",0,0,"2021-2022"
123,"01.01.2022","19:50","Al Ahli SC","Al-Shabab",3,4,"2021-2022"
124,"01.01.2022","17:40","Al-Fateh","Al-Nassr",0,1,"2021-2022"
125,"01.01.2022","15:45","Abha","Al-Raed",1,0,"2021-2022"
126,"01.01.2022","15:25","Al-Taawon","Damk",3,0,"2021-2022"
127,"31.12.2021","18:05","Al-Faisaly","Al-Hilal",2,3,"2021-2022"
128,"31.12.2021","17:35","Al-Ettifaq","Al Feiha",1,1,"2021-2022"
129,"31.12.2021","15:30","Al-Hazem","Al Taee",0,1,"2021-2022"
130,"31.12.2021","15:10","Al Batin","Al-Ittihad FC",2,3,"2021-2022"
131,"27.12.2021","17:50","Al-Shabab","Al-Taawon",3,1,"2021-2022"
132,"27.12.2021","15:20","Al-Raed","Al Ahli SC",1,0,"2021-2022"
133,"26.12.2021","19:45","Al-Ittihad FC","Al-Ettifaq",3,2,"2021-2022"
134,"26.12.2021","17:50","Al-Nassr","Al-Hazem",2,1,"2021-2022"
135,"26.12.2021","15:30","Al Taee","Al-Faisaly",3,1,"2021-2022"
136,"25.12.2021","17:55","Al Feiha","Abha",0,0,"2021-2022"
137,"25.12.2021","17:50","Al-Hilal","Al-Fateh",2,3,"2021-2022"
138,"25.12.2021","15:40","Damk","Al Batin",1,1,"2021-2022"
139,"16.12.2021","15:15","Al-Hilal","Al-Nassr",0,2,"2021-2022"
140,"10.12.2021","17:40","Al-Hilal","Al Feiha",0,0,"2021-2022"
141,"10.12.2021","15:25","Al Taee","Al-Nassr",2,1,"2021-2022"
142,"28.11.2021","15:30","Abha","Al-Hilal",1,1,"2021-2022"
143,"27.11.2021","19:40","Al-Ittihad FC","Al Taee",1,0,"2021-2022"
144,"27.11.2021","17:25","Al-Ettifaq","Al-Faisaly",1,0,"2021-2022"
145,"27.11.2021","15:00","Al Batin","Al-Hazem",0,0,"2021-2022"
146,"26.11.2021","19:40","Al Ahli SC","Al-Nassr",1,2,"2021-2022"
147,"26.11.2021","17:50","Al-Taawon","Al Feiha",1,1,"2021-2022"
148,"25.11.2021","19:40","Al-Shabab","Al-Raed",3,0,"2021-2022"
149,"25.11.2021","17:30","Al-Fateh","Damk",5,5,"2021-2022"
150,"21.11.2021","17:40","Al Batin","Al-Taawon",3,2,"2021-2022"
151,"21.11.2021","15:30","Abha","Al Ahli SC",2,0,"2021-2022"
152,"21.11.2021","15:15","Al-Hazem","Al-Ettifaq",0,3,"2021-2022"
153,"20.11.2021","19:40","Al-Nassr","Al-Raed",2,2,"2021-2022"
154,"20.11.2021","17:45","Al-Faisaly","Al-Shabab",0,0,"2021-2022"
155,"20.11.2021","15:30","Damk","Al Feiha",1,0,"2021-2022"
156,"20.11.2021","15:20","Al Taee","Al-Fateh",1,0,"2021-2022"
157,"05.11.2021","17:55","Al Feiha","Al-Hazem",1,0,"2021-2022"
158,"05.11.2021","17:50","Al-Shabab","Al-Nassr",1,0,"2021-2022"
159,"04.11.2021","19:45","Al-Ittihad FC","Al-Fateh",3,0,"2021-2022"
160,"04.11.2021","19:00","Al-Ettifaq","Al-Taawon",1,3,"2021-2022"
161,"04.11.2021","17:55","Al-Faisaly","Abha",1,0,"2021-2022"
162,"04.11.2021","17:50","Al-Hilal","Damk",2,0,"2021-2022"
163,"03.11.2021","19:45","Al Ahli SC","Al Batin",1,0,"2021-2022"
164,"03.11.2021","18:00","Al-Raed","Al Taee",4,0,"2021-2022"
165,"30.10.2021","19:50","Al Feiha","Al-Nassr",1,1,"2021-2022"
166,"30.10.2021","18:05","Al-Taawon","Abha",2,0,"2021-2022"
167,"30.10.2021","17:40","Al-Ettifaq","Damk",0,1,"2021-2022"
168,"29.10.2021","19:50","Al Ahli SC","Al-Hilal",1,1,"2021-2022"
169,"29.10.2021","18:05","Al-Raed","Al Batin",1,0,"2021-2022"
170,"28.10.2021","19:50","Al-Shabab","Al Taee",3,0,"2021-2022"
171,"28.10.2021","18:05","Al-Hazem","Al-Ittihad FC",0,1,"2021-2022"
172,"24.10.2021","18:00","Al-Nassr","Al-Ettifaq",0,1,"2021-2022"
173,"23.10.2021","20:00","Al-Hilal","Al-Raed",3,2,"2021-2022"
174,"23.10.2021","18:20","Abha","Al-Fateh",3,1,"2021-2022"
175,"22.10.2021","20:00","Al-Ittihad FC","Al-Shabab",0,2,"2021-2022"
176,"22.10.2021","18:20","Damk","Al-Hazem",1,0,"2021-2022"
